protein_id,protein_name,source,nsnp_exp,nsnp_used,ivw_b,ivw_se,ivw_pval,wm_b,wm_se,wm_pval,egg_b,egg_se,egg_pval,het_q,het_q_df,het_q_pval,egg_int,egg_int_se,egg_int_pval,bonf_thresh,bonf_sig,fdr_q,or,or_lci95,or_uci95,z
prot-a-3137,Ubiquitin-conjugating enzyme E2 G2,prot-a,38,36,0.0521470874367319,0.0135012558347112,0.000112284083900669,0.0353501259886598,0.0218501070518042,0.105695615588379,0.0263808924606434,0.0291142079563109,0.371250674507407,33.6367944515451,34,0.48531217651471,0.00556000659747147,0.00556610175752354,0.324897238025471,1.15048320294524e-05,FALSE,0.202363506985254,1.05353069224655,1.02601731825883,1.08178185665428,3.86238791969736
prot-a-1313,Heparin-binding EGF-like growth factor,prot-a,25,24,0.0725401865852776,0.019112052578473,0.000147334043479929,0.0540160270040069,0.0245818595614287,0.0279923301803341,0.0191533167843327,0.0575129245635253,0.742416330761347,34.0921732893623,21,0.0354244448976142,0.0110059995919763,0.0111818193068087,0.336184861888751,1.15048320294524e-05,FALSE,0.202363506985254,1.07523601528576,1.03570314534155,1.11627785796318,3.79552045953368
prot-a-1441,Immunoglobulin superfamily DCC subclass member 3,prot-a,22,21,-0.060773840359844,0.0160443813850527,0.000151951572698512,-0.0689951780205125,0.0228569154534687,0.00253971501473896,-0.0782635576959415,0.0299814077478331,0.0171989374533577,13.0700004876867,19,0.83496833239151,0.0044648176147673,0.0064655669748585,0.49819639112489,1.15048320294524e-05,FALSE,0.202363506985254,0.941036040083881,0.911903753541297,0.971099006115286,-3.7878581231223
prot-c-2746_56_1,"",prot-c,2,2,-0.130623452969213,0.0349581880568067,0.00018655312927887,,,,,,,0.282076822204317,1,0.595343213735322,,,,1.15048320294524e-05,FALSE,0.202363506985254,0.877548150336481,0.819433933948478,0.93978382424104,-3.73656245446563
prot-c-2973_15_2,"",prot-c,4,4,-0.0549674986326867,0.0153166772954855,0.000332286161596385,-0.0561479783210272,0.0183412558899134,0.0022038251320522,-0.0396856483180754,0.0449734663059722,0.470630981506198,1.24046921113029,2,0.537818247638888,-0.00639667267277697,0.0176995982685707,0.752406873142381,1.15048320294524e-05,FALSE,0.229195245861234,0.946515910514844,0.918523135648588,0.975361789036633,-3.58873517880331
prot-a-2729,Sialic acid-binding Ig-like lectin 7,prot-a,35,34,-0.0433721969264668,0.012091125200154,0.000334363209259927,-0.0574989237648258,0.017667341856682,0.00113579491724438,-0.0723814368101742,0.0244536156714235,0.00575230837470116,26.9345376313656,32,0.720880942761597,0.00788403529358244,0.00577667106627632,0.181834422772606,1.15048320294524e-05,FALSE,0.229195245861234,0.957554924733586,0.935128989692017,0.980518670674007,-3.58711006696997
prot-c-3448_13_2,"",prot-c,5,5,-0.0461679543676763,0.0129656861229399,0.000369754948381802,-0.047308225409926,0.0143649283048906,0.000990136842213073,-0.0382282180185446,0.0271075738797707,0.253269094297433,2.46643984169154,3,0.481386697500728,-0.00375573831849824,0.0112608266753002,0.760691123957531,1.15048320294524e-05,FALSE,0.229195245861234,0.954881572191328,0.930921150000662,0.979458697345026,-3.56077988699669
prot-c-2358_19_2,"",prot-c,5,5,-0.0349221657827824,0.0100876086277721,0.000536401406987224,-0.0338286838248447,0.011245624888012,0.00262831269396865,-0.00527220396012066,0.0254448257381634,0.849119862768754,2.56658773886473,3,0.46337727960036,-0.0180531700248786,0.0142759030888261,0.29532921343543,1.15048320294524e-05,FALSE,0.259086772957413,0.965680576324256,0.946774931576035,0.984963737831135,-3.46188745731456
prot-a-470,T-cell surface protein tactile,prot-a,21,19,-0.0589194224331609,0.017037455945913,0.00054373920850684,-0.054096982468494,0.0250930834554672,0.0310951976735543,-0.0489429944687995,0.0313055940671615,0.138808038221575,17.4081112606948,15,0.295058383782719,-0.00242291007722336,0.00630245770210912,0.70604855701652,1.15048320294524e-05,FALSE,0.259086772957413,0.94278273323526,0.911819854766615,0.974797025355465,-3.45822889404416
prot-c-3470_1_2,"",prot-c,4,4,-0.0366241333358875,0.0107456578292549,0.000653755004707995,-0.0346224666910016,0.0111073290606767,0.00182650135316226,-0.0184021607811503,0.0273404581173159,0.622850165187273,0.960734907519504,1,0.327001787808539,-0.0144795230774501,0.0199769060403997,0.600721201309778,1.15048320294524e-05,FALSE,0.259086772957413,0.964038417163895,0.943946656213945,0.984557828188575,-3.40827280356711
