protein_id,protein_name,nsnp,b,se,pval,fdr_q,bonf_thresh,bonf_sig,or
8255_34,ENSG00000072952,2,-0.28391724976755,0.0508047984949763,2.29178714934271e-08,3.65081692890294e-05,3.13873195229127e-05,TRUE,0.75282893889842
15300_66,ENSG00000100147,1,0.27816052631579,0.0615397368421053,6.18352846710223e-06,0.00492518042404693,3.13873195229127e-05,TRUE,1.3206981870079
TXNDC9_O14530_OID31121_v1_Neurology_II,TXNDC9,1,-0.845546186739022,0.197333679655166,1.82858481114528e-05,0.0335728171326273,2.72331154684096e-05,TRUE,0.429322803739137
POSTN_Q15063_OID30410_v1_Cardiometabolic_II,POSTN,3,-0.143366956859162,0.0348575249216035,3.90649597982128e-05,0.0354042452684633,2.72331154684096e-05,FALSE,0.866436065894961
15594_47,ENSG00000166033,1,0.312985969835146,0.0777102770957559,5.63489251883961e-05,0.0299212792750383,3.13873195229127e-05,FALSE,1.36750234460968
ROBO1_Q9Y6N7_OID20734_v1_Inflammation,ROBO1,4,-0.152014011033437,0.0393223733088271,0.000110707416008457,0.0354042452684633,2.72331154684096e-05,FALSE,0.858976245511913
SPRY2_O43597_OID20475_v1_Inflammation,SPRY2,2,0.391373413619228,0.101496062030325,0.000115236139209207,0.0354042452684633,2.72331154684096e-05,FALSE,1.4790106930468
19233_75,ENSG00000177556,1,0.375657505285412,0.0980523255813953,0.000127522777706738,0.0482957155479509,3.13873195229127e-05,FALSE,1.45594839373848
ATOX1_O00244_OID21476_v1_Oncology,ATOX1,1,0.494445063672082,0.129278290188648,0.000130954495645083,0.0354042452684633,2.72331154684096e-05,FALSE,1.63958811954085
18312_68_NDRG3_NDRG3,NDRG3,1,0.740607414024118,0.19407771326485,0.000135613085585232,0.174505751016586,2.94985250737463e-05,FALSE,2.0972090018474
CRNN_Q9UBG3_OID21427_v1_Oncology,CRNN,5,0.0897707043572503,0.0235301688353955,0.0001361100564503,0.0354042452684633,2.72331154684096e-05,FALSE,1.09392342307127
PRSS27_Q9BQR3_OID20212_v1_Cardiometabolic,PRSS27,4,-0.136584576857933,0.0358817707075202,0.000140937503206576,0.0354042452684633,2.72331154684096e-05,FALSE,0.872332537994393
BTN2A1_Q7KYR7_OID20713_v1_Inflammation,BTN2A1,6,0.154504106978483,0.040829834703199,0.000154266863914873,0.0354042452684633,2.72331154684096e-05,FALSE,1.16707907121629
9216_100,ENSG00000196576,4,-0.0664391738042835,0.0177419239714861,0.000180569275942029,0.0482957155479509,3.13873195229127e-05,FALSE,0.935719830402905
18312_68,ENSG00000101079,1,0.532550734779566,0.142282715185444,0.000181904766658949,0.0482957155479509,3.13873195229127e-05,FALSE,1.70327136588583
17435_43_ETFA_ETFA,ETFA,1,-0.601750865051903,0.162124567474048,0.000205906490875028,0.174505751016586,2.94985250737463e-05,FALSE,0.547851581688421
17435_43,ENSG00000140374,1,-0.0885023168010983,0.0240065213660546,0.000227274802259297,0.0517212514284371,3.13873195229127e-05,FALSE,0.915300990163202
IL1RL1_Q01638_OID20250_v1_Cardiometabolic,IL1RL1,4,0.0865694135521221,0.0236363882735062,0.000249718654569238,0.0501740240497354,2.72331154684096e-05,FALSE,1.09042705550612
NCAM1_P13591_OID20354_v1_Cardiometabolic,NCAM1,3,0.141525128361486,0.0388869897022157,0.000273278998092241,0.0501740240497354,2.72331154684096e-05,FALSE,1.15202945250962
5740_17,ENSG00000169855,1,-0.28359405204461,0.0791776951672862,0.000341311172207815,0.0679635871658811,3.13873195229127e-05,FALSE,0.753072290820511
5400_52_LEPR_sLeptin_R,LEPR,9,-0.041166467862816,0.0115184107850442,0.000351607685127546,0.198658342097064,2.94985250737463e-05,FALSE,0.959669362542306
5620_13,ENSG00000145730,4,0.0505693968878092,0.0143958434707198,0.000443448446111362,0.0784903749617111,3.13873195229127e-05,FALSE,1.05186985731668
15535_3,ENSG00000172382,1,-0.146162982611258,0.04292897141173,0.000662214473974463,0.0979447231678826,3.13873195229127e-05,FALSE,0.864016871982469
4158_54,ENSG00000122861,3,0.0941827529156013,0.0277089651348778,0.000676328910763784,0.0979447231678826,3.13873195229127e-05,FALSE,1.09876052926001
DUSP29_Q68J44_OID30935_v1_Neurology_II,DUSP29,1,-0.225607789984306,0.0666530175488657,0.000712275794083187,0.109168195977596,2.72331154684096e-05,FALSE,0.798031036058838
ERI1_Q8IV48_OID31317_v1_Oncology_II,ERI1,1,0.446934704352809,0.13285758732295,0.000768178127540151,0.109168195977596,2.72331154684096e-05,FALSE,1.56351220541197
CRIM1_Q9NZV1_OID20701_v1_Inflammation,CRIM1,2,-0.223935673128308,0.0666020475795404,0.00077297742249932,0.109168195977596,2.72331154684096e-05,FALSE,0.799366553465253
FGFBP2_Q9BYJ0_OID30395_v1_Cardiometabolic_II,FGFBP2,4,0.0824917840509609,0.0247028999564447,0.000839727905219534,0.110124316713076,2.72331154684096e-05,FALSE,1.08598975096595
9234_8,ENSG00000128791,1,-0.119065310492505,0.0360585296216988,0.000959976365720538,0.124663013915524,3.13873195229127e-05,FALSE,0.887749819490646
15525_294_ADH1C_ADH1G,ADH1C,1,0.23461767005473,0.0714017982799062,0.00101664668955914,0.203285292886418,2.94985250737463e-05,FALSE,1.26442524867056
DARS1_P14868_OID20903_v1_Neurology,DARS1,1,-0.454418774138548,0.138302490726974,0.00101733784111853,0.117119422809411,2.72331154684096e-05,FALSE,0.634816832701428
12675_14,ENSG00000115866,1,-0.254915457413249,0.077583596214511,0.00101733784111853,0.124663013915524,3.13873195229127e-05,FALSE,0.774982014175751
8398_277_RARRES1_RAR_responsive_protein_TIG1,RARRES1,8,0.0751356469503944,0.0228909920012714,0.00102955320926872,0.203285292886418,2.94985250737463e-05,FALSE,1.07803037249961
TEF_Q10587_OID30103_v1_Cardiometabolic_II,TEF,1,0.414966735457196,0.126549710925854,0.00104145788558197,0.117119422809411,2.72331154684096e-05,FALSE,1.51432036667956
TGFBR2_P37173_OID21493_v1_Oncology,TGFBR2,1,-0.688554415153057,0.210718453574314,0.00108443910008714,0.117119422809411,2.72331154684096e-05,FALSE,0.502301664159366
14273_19_PREP_PPCE,PREP,3,0.171584119419839,0.0528838656368954,0.00117638134671591,0.203285292886418,2.94985250737463e-05,FALSE,1.18718400376174
CTRL_P40313_OID31157_v1_Neurology_II,CTRL,1,0.416160117281081,0.128280652197232,0.00117806723859093,0.118565081022677,2.72331154684096e-05,FALSE,1.51612860782715
LGMN_Q99538_OID20773_v1_Inflammation,LGMN,3,-0.0891914894706486,0.0277036648085971,0.0012842178780636,0.118565081022677,2.72331154684096e-05,FALSE,0.914670407051651
3366_51_ECM1_ECM1,ECM1,3,0.0944399851794951,0.0293523368714148,0.00129330823023309,0.203285292886418,2.94985250737463e-05,FALSE,1.09904320227318
