protein_id,protein_name,nsnp,b,se,pval,fdr_q,bonf_thresh,bonf_sig,or
TXNDC9_O14530_OID31121_v1_Neurology_II,TXNDC9,1,-0.845546186739022,0.197333679655166,1.82858481114528e-05,0.0335728171326273,2.72331154684096e-05,TRUE,0.429322803739137
POSTN_Q15063_OID30410_v1_Cardiometabolic_II,POSTN,3,-0.143366956859162,0.0348575249216035,3.90649597982128e-05,0.0354042452684633,2.72331154684096e-05,FALSE,0.866436065894961
ROBO1_Q9Y6N7_OID20734_v1_Inflammation,ROBO1,4,-0.152014011033437,0.0393223733088271,0.000110707416008457,0.0354042452684633,2.72331154684096e-05,FALSE,0.858976245511913
SPRY2_O43597_OID20475_v1_Inflammation,SPRY2,2,0.391373413619228,0.101496062030325,0.000115236139209207,0.0354042452684633,2.72331154684096e-05,FALSE,1.4790106930468
ATOX1_O00244_OID21476_v1_Oncology,ATOX1,1,0.494445063672082,0.129278290188648,0.000130954495645083,0.0354042452684633,2.72331154684096e-05,FALSE,1.63958811954085
CRNN_Q9UBG3_OID21427_v1_Oncology,CRNN,5,0.0897707043572503,0.0235301688353955,0.0001361100564503,0.0354042452684633,2.72331154684096e-05,FALSE,1.09392342307127
PRSS27_Q9BQR3_OID20212_v1_Cardiometabolic,PRSS27,4,-0.136584576857933,0.0358817707075202,0.000140937503206576,0.0354042452684633,2.72331154684096e-05,FALSE,0.872332537994393
BTN2A1_Q7KYR7_OID20713_v1_Inflammation,BTN2A1,6,0.154504106978483,0.040829834703199,0.000154266863914873,0.0354042452684633,2.72331154684096e-05,FALSE,1.16707907121629
IL1RL1_Q01638_OID20250_v1_Cardiometabolic,IL1RL1,4,0.0865694135521221,0.0236363882735062,0.000249718654569238,0.0501740240497354,2.72331154684096e-05,FALSE,1.09042705550612
NCAM1_P13591_OID20354_v1_Cardiometabolic,NCAM1,3,0.141525128361486,0.0388869897022157,0.000273278998092241,0.0501740240497354,2.72331154684096e-05,FALSE,1.15202945250962
DUSP29_Q68J44_OID30935_v1_Neurology_II,DUSP29,1,-0.225607789984306,0.0666530175488657,0.000712275794083187,0.109168195977596,2.72331154684096e-05,FALSE,0.798031036058838
ERI1_Q8IV48_OID31317_v1_Oncology_II,ERI1,1,0.446934704352809,0.13285758732295,0.000768178127540151,0.109168195977596,2.72331154684096e-05,FALSE,1.56351220541197
CRIM1_Q9NZV1_OID20701_v1_Inflammation,CRIM1,2,-0.223935673128308,0.0666020475795404,0.00077297742249932,0.109168195977596,2.72331154684096e-05,FALSE,0.799366553465253
FGFBP2_Q9BYJ0_OID30395_v1_Cardiometabolic_II,FGFBP2,4,0.0824917840509609,0.0247028999564447,0.000839727905219534,0.110124316713076,2.72331154684096e-05,FALSE,1.08598975096595
DARS1_P14868_OID20903_v1_Neurology,DARS1,1,-0.454418774138548,0.138302490726974,0.00101733784111853,0.117119422809411,2.72331154684096e-05,FALSE,0.634816832701428
TEF_Q10587_OID30103_v1_Cardiometabolic_II,TEF,1,0.414966735457196,0.126549710925854,0.00104145788558197,0.117119422809411,2.72331154684096e-05,FALSE,1.51432036667956
TGFBR2_P37173_OID21493_v1_Oncology,TGFBR2,1,-0.688554415153057,0.210718453574314,0.00108443910008714,0.117119422809411,2.72331154684096e-05,FALSE,0.502301664159366
CTRL_P40313_OID31157_v1_Neurology_II,CTRL,1,0.416160117281081,0.128280652197232,0.00117806723859093,0.118565081022677,2.72331154684096e-05,FALSE,1.51612860782715
LGMN_Q99538_OID20773_v1_Inflammation,LGMN,3,-0.0891914894706486,0.0277036648085971,0.0012842178780636,0.118565081022677,2.72331154684096e-05,FALSE,0.914670407051651
AMY1A_AMY1B_AMY1C_P0DUB6_P0DTE7_P0DTE8_OID30707_v1_Inflammation_II,AMY1A,5,-0.0767817072681953,0.0238794035749725,0.00130265284557868,0.118565081022677,2.72331154684096e-05,FALSE,0.926091990693715
TPPP3_Q9BW30_OID20842_v1_Neurology,TPPP3,1,-0.363998772074938,0.114100672800607,0.00142196764136583,0.118565081022677,2.72331154684096e-05,FALSE,0.694892048017748
UBE2L6_O14933_OID30321_v1_Cardiometabolic_II,UBE2L6,2,0.123267307061028,0.0387587562147444,0.00147085525726905,0.118565081022677,2.72331154684096e-05,FALSE,1.13118675474459
TRIM40_Q6P9F5_OID30885_v1_Neurology_II,TRIM40,3,0.113301365467711,0.0356569228759371,0.00148529240932547,0.118565081022677,2.72331154684096e-05,FALSE,1.11996940219796
COL28A1_Q2UY09_OID30969_v1_Neurology_II,COL28A1,5,0.055547935605958,0.0176376713019757,0.00163610737921894,0.125162214510249,2.72331154684096e-05,FALSE,1.05711968953079
VSIG10L_Q86VR7_OID30189_v1_Cardiometabolic_II,VSIG10L,2,0.13347093718294,0.04316610982684,0.00198792282668164,0.142574082829331,2.72331154684096e-05,FALSE,1.14278805301236
PRKD2_Q9BZL6_OID30140_v1_Cardiometabolic_II,PRKD2,1,0.708005257947565,0.230472821918167,0.00212652137139947,0.142574082829331,2.72331154684096e-05,FALSE,2.02993801468092
SHPK_Q9UHJ6_OID31292_v1_Oncology_II,SHPK,1,0.399574303405573,0.13028136951375,0.00216211400117035,0.142574082829331,2.72331154684096e-05,FALSE,1.49118976810126
AMY2B_P19961_OID20340_v1_Cardiometabolic,AMY2B,4,-0.0691111127728611,0.0225460929114481,0.00217433241787651,0.142574082829331,2.72331154684096e-05,FALSE,0.933222981324028
SPAG1_Q07617_OID30979_v1_Neurology_II,SPAG1,4,-0.107161887428743,0.0351557440752934,0.00230213418817545,0.145748909292763,2.72331154684096e-05,FALSE,0.898380224752884
AMY2A_P04746_OID20333_v1_Cardiometabolic,AMY2A,4,-0.0678270555996731,0.0223702024515591,0.00242917554756376,0.148665543510902,2.72331154684096e-05,FALSE,0.934422062667127
SPARC_P09486_OID21511_v1_Oncology,SPARC,1,0.456116077261015,0.152622142889748,0.00280321629116569,0.158216966800661,2.72331154684096e-05,FALSE,1.57793349633472
S100A16_Q96FQ6_OID20878_v1_Neurology,S100A16,1,-0.266815099588509,0.0893677916658617,0.00283036865861862,0.158216966800661,2.72331154684096e-05,FALSE,0.76581465782064
TRDMT1_O14717_OID31335_v1_Oncology_II,TRDMT1,2,0.176106357828197,0.0590141131241657,0.00284376901112299,0.158216966800661,2.72331154684096e-05,FALSE,1.19256489051751
CCL27_Q9Y4X3_OID20121_v1_Cardiometabolic,CCL27,2,-0.122145648875974,0.0411549825898961,0.0029979976929273,0.161891875418074,2.72331154684096e-05,FALSE,0.885019457025818
RBKS_Q9H477_OID20986_v1_Neurology,RBKS,2,0.122606310854421,0.0414545970081727,0.00310039440075261,0.162637831993765,2.72331154684096e-05,FALSE,1.13043929165309
SERPING1_P05155_OID30777_v1_Inflammation_II,SERPING1,2,-0.113541505402293,0.0386136692150183,0.00327737486664806,0.162742572086564,2.72331154684096e-05,FALSE,0.892667145133304
VMO1_Q7Z5L0_OID21381_v1_Oncology,VMO1,5,0.0583136080222053,0.0198782411286014,0.00335120874537797,0.162742572086564,2.72331154684096e-05,FALSE,1.06004738295112
AP3B1_O00203_OID31478_v1_Oncology_II,AP3B1,1,-0.595821802942947,0.203216269112687,0.00336831031551712,0.162742572086564,2.72331154684096e-05,FALSE,0.551109476328639
GRPEL1_Q9HAV7_OID21309_v1_Oncology,GRPEL1,1,-0.497737488123703,0.170893551256791,0.00358480892951558,0.168761774220272,2.72331154684096e-05,FALSE,0.607904496108101
DECR1_Q16698_OID20579_v1_Inflammation,DECR1,2,-0.345974274723573,0.119431135346318,0.00376928015806547,0.173009959255205,2.72331154684096e-05,FALSE,0.707530688294923
AHCY_P23526_OID20199_v1_Cardiometabolic,AHCY,2,0.104308714443709,0.0362218809228625,0.00398034083249789,0.17824160410893,2.72331154684096e-05,FALSE,1.10994305748322
ENO3_P13929_OID30209_v1_Cardiometabolic_II,ENO3,1,0.293235436976454,0.103429470476747,0.00458078146585556,0.193540461209785,2.72331154684096e-05,FALSE,1.34075841738304
IL18_Q14116_OID20694_v1_Inflammation,IL18,2,-0.226736316597467,0.0802919608297242,0.00474434641872432,0.193540461209785,2.72331154684096e-05,FALSE,0.797130944780525
